ID	Year of Study	Acquired Skills
10988	4	Web Development, Mathematics, Compilation
11557	3	Python
12734	5	Compilation, Probability, Robotics, Mathematics
12538	1	Python, Algorithmic, Probability
14403	1	Static Structures, Python, Mathematics
19732	4	Security, Software Engineering, Design, Statistics
18503	4	Dynamic Structures, Probability, Design
10982	3	Web Development
14400	1	Dynamic Structures, Software Engineering
12759	2	Static Structures, Statistics, Compilation, Software Engineering
12573	3	Compilation, Static Structures
19974	5	Compilation, Design
16737	5	Probability, Statistics, Static Structures, Java
13158	3	Static Structures, Algorithmic, Design
18273	4	Robotics, Java
17374	1	Mathematics
13431	5	Web Development, Static Structures, Algorithmic, Java
14988	2	Probability, Java, Compilation, Python
10374	1	Statistics, C++
10592	5	Dynamic Structures, Security, Java, Compilation, Probability
19330	3	Robotics, Security
10341	1	Software Engineering
17110	1	
13678	1	Robotics, Design, Dynamic Structures, Java
15802	2	Static Structures, Robotics
10705	5	Web Development, Software Engineering, Java, Compilation
12704	1	Python, Security
16342		Mathematics, Design, Algorithmic, Robotics
10602	3	Python, Design, Statistics, Software Engineering
19047	5	
11571	3	Dynamic Structures, Compilation, Statistics
13234	5	Design, C++, Mathematics, Algorithmic
10527		
10934		Python, Software Engineering, C++, Mathematics
19617	2	Dynamic Structures
19086		Compilation
19729	1	Web Development, C++, Mathematics, Dynamic Structures
10342	4	Probability, Mathematics
15572	5	Security, Statistics, Web Development, Design, Algorithmic
10784	5	Dynamic Structures, Compilation
10755	5	Software Engineering, Web Development, Python
10608	5	Probability, Java, Static Structures, Algorithmic, Software Engineering
14826	5	Design, C++
12358	2	Mathematics, Compilation, Statistics, Dynamic Structures
18271		Python, Security, Java, C++
14085	1	Security
13389	2	Web Development, Robotics, Java
18291	3	Mathematics, Software Engineering
18975	2	Dynamic Structures, Java, Probability, Python, Web Development
11184	4	Design, Java
10617	5	Security, Mathematics
15005	5	Dynamic Structures, Web Development, C++, Probability
19761	3	Design, Compilation
12855	5	Compilation, Static Structures, Java, Software Engineering, Python
13449	4	Algorithmic
13501	5	Design, Security, Java, Python, C++
11150	4	Algorithmic, Web Development, Robotics, Security, Software Engineering
11812	2	Design
17935	2	Static Structures, C++, Statistics, Dynamic Structures
19407	4	Web Development, Security, Mathematics
12256	1	Static Structures, Java
15168	3	Design, C++, Statistics, Dynamic Structures
10496	4	Java
13861	1	Dynamic Structures, Static Structures
13982	5	C++, Compilation, Design
16771	2	Algorithmic
19624	4	Dynamic Structures, Web Development, Mathematics
13041	1	
10140	4	C++
15570	4	Probability, Security
11135	4	
11397	4	Security
17867	5	Algorithmic, Robotics, Dynamic Structures, Python
19580	3	Mathematics, Statistics, Security, Software Engineering, Algorithmic
14874	3	Mathematics, Python
10677	2	Robotics, Static Structures
14340	2	Algorithmic
18572	5	
19125	1	Dynamic Structures, Security, Java, Robotics
14700	3	Statistics, Web Development, C++
18562	2	Compilation, Probability, Security, Python
13845	1	Statistics, Design, Compilation, Mathematics, Software Engineering
12420	2	Design, Algorithmic
13212	1	Web Development, Statistics, Java, Compilation
17132	4	Statistics, C++
13249	3	Algorithmic, Software Engineering, Compilation
11471	1	Python, Dynamic Structures, Compilation, Algorithmic, Design
11131	1	
15061	1	Dynamic Structures, Java, Security
13221	4	Static Structures, Compilation
15865	1	Design, Dynamic Structures, Web Development, C++, Static Structures
13335	4	Web Development
12849	1	Dynamic Structures, Statistics, Design
17406	2	Algorithmic, Statistics, Python, Security, C++
19697	2	
17577	2	Algorithmic
13150	2	Compilation, Statistics
16090	4	Design, Python
14721	3	Design
18392	1	Statistics, Probability, Mathematics, C++, Algorithmic
12442	4	Algorithmic, Static Structures, Compilation, Dynamic Structures, Probability
12133	2	Static Structures, Mathematics
11354	4	Python, Statistics, Java, Design, Algorithmic
14112	2	Web Development, Probability, Static Structures
10159	5	Software Engineering, Static Structures, C++
18739	5	Python, Design
16830	1	C++, Compilation
15469	1	C++
17629		Compilation, Static Structures, Mathematics, Algorithmic, Web Development
14966	4	Security
17133	5	Probability, Static Structures, Security, C++
11502	5	Security, Software Engineering
13024	1	Robotics
15140	1	Algorithmic, Dynamic Structures, Robotics
15557		Python, Static Structures, Security, Statistics, Software Engineering
10027	4	Probability, Static Structures, Design, Compilation
10735	5	Compilation
19321	3	Mathematics, Probability, Statistics
13895		Robotics, Probability, C++, Python
14627	5	
15337	2	Software Engineering
17032	4	Static Structures, Robotics, Algorithmic, Web Development, Java
10371	1	Web Development, Robotics, Software Engineering, Algorithmic, Probability
11271	5	Security, C++
16514	1	Statistics, Algorithmic
19219	2	Security
12036	2	Security, Robotics, Design, Probability
17786	1	Mathematics, Java, Static Structures, Dynamic Structures
19109	2	Web Development, Python, Static Structures, Mathematics
11638	5	Design, Software Engineering, Compilation
15361	3	Algorithmic
11233	5	Mathematics, Algorithmic, Robotics, Design
19615		Algorithmic, Probability
14893	5	Algorithmic, Robotics, Web Development
19084	5	Python, Dynamic Structures, Probability
15918	4	
14461	5	Algorithmic, Compilation
18366	2	Design
14331	5	C++, Static Structures, Dynamic Structures, Compilation, Java
18949	2	Probability, Web Development, Statistics, Python
13971	2	Python
11101	2	Software Engineering, Design, Probability, Java, Dynamic Structures
18481	2	Probability
11080	4	Mathematics, Probability
14194	1	Software Engineering, Python, Static Structures, Java
16219	2	C++, Software Engineering
11404	4	Web Development, Statistics, Algorithmic
16167	1	Static Structures, Software Engineering, Compilation
12808	5	Statistics, Java
16317	2	Java, Mathematics
19228	3	Statistics, C++, Python, Security, Probability
12104	2	Algorithmic, Static Structures
15995	2	Software Engineering, Static Structures, Design, Statistics
16846	5	Software Engineering, C++, Probability, Security, Python
14939	3	Python, Java, Robotics
13932	3	Software Engineering
11493	1	
11116	5	Robotics, Security, Algorithmic, C++, Compilation
11999	3	Probability, Java, Software Engineering, Robotics
11279	3	Design, Algorithmic, Security, Dynamic Structures
12768	4	Software Engineering
19922	2	C++, Java, Probability
16387	4	Security, Algorithmic, Probability, Web Development
11736	2	Static Structures, Dynamic Structures
18165	3	C++, Design, Web Development
14891	2	Security, Probability, Web Development, Statistics, Design
10739	4	Static Structures
19506	5	Robotics, Software Engineering, Static Structures, Dynamic Structures
18096	1	Static Structures, Web Development, Security, Dynamic Structures, Compilation
16973	4	Static Structures, Java, Mathematics
12404	1	Dynamic Structures, Mathematics, Algorithmic
10124	4	Java
19672	4	Robotics
16288	4	Compilation, Algorithmic
15967	3	Software Engineering, Java
15744	4	Software Engineering, Security, Web Development
12314	2	Python
12309	4	Design, Web Development, Robotics
14231	3	Probability
10605	4	Java
13000	1	Design, Static Structures, Web Development, Python, Statistics
10077	5	C++
18932	4	C++, Probability, Java, Compilation
10269	1	Security
17137	2	
14957	2	Web Development, Robotics, Static Structures, Probability
14502	2	Static Structures, C++, Design
14912	3	Dynamic Structures, Statistics
12552	1	
17784	2	C++
11754	1	Algorithmic, Web Development, Software Engineering
18843	3	Python, Dynamic Structures, Java
18180	2	Static Structures, Java, C++, Mathematics, Robotics
18161	2	C++, Statistics, Java
16649	5	Python, Design, Algorithmic, Probability, Security
16075	3	Probability, Static Structures, Dynamic Structures, Mathematics, Statistics
13462	3	Design, Dynamic Structures
10189	1	Mathematics, Statistics
15283	4	C++, Design, Mathematics
10035	4	Design, Java, Dynamic Structures, Probability, Algorithmic
14970	4	Mathematics
19988	3	Dynamic Structures
17968	2	Mathematics, Probability
12917	2	Python, Dynamic Structures
15540	4	Dynamic Structures
17857	2	Java
15854	4	Web Development
13620	4	Static Structures, Web Development, Mathematics, Python
15263	2	Design, Python
16136	5	C++
16458	1	Security, Statistics, Algorithmic, Software Engineering, Java
18908	5	Robotics, Software Engineering, Probability, Statistics
14504	1	Web Development
10149	3	Security, Web Development, Statistics, Algorithmic
12494	3	Python, Algorithmic, Compilation, Java
12231	2	Mathematics
18316	1	Security, Static Structures, Mathematics
16089		Robotics, Web Development
17066	4	Mathematics, Dynamic Structures, Java
11834	1	Probability
18898	5	Design
18830	1	Java
13233	1	C++
17653	2	Mathematics, Security, Software Engineering, Design, Java
13621	5	Security
11288	2	Statistics, Software Engineering, Java, Design
18129	1	Probability, Software Engineering
14773	4	Java
12177		Software Engineering, Design, Statistics, Security, Mathematics
16438	2	Static Structures, Python, Mathematics, Web Development
18750		Software Engineering, Java, Compilation, Probability, Robotics
17775	2	Java, Robotics, C++, Dynamic Structures
19171	2	Mathematics, Algorithmic, Java
16920	3	Statistics, Mathematics
19765	4	Dynamic Structures, C++, Probability, Algorithmic
15066	5	Security
10726	1	Mathematics, Software Engineering, Dynamic Structures, Python, Static Structures
17244	3	Probability
15474	2	Web Development, Static Structures, Mathematics
17739		Mathematics
12516	1	Static Structures, Design, Java
10637	3	C++, Web Development, Probability
12938	5	Statistics, Security, Design, Compilation
14303	2	Web Development, Probability
15008	1	Security, Static Structures, Robotics, Probability, Python
12328	1	Robotics, Static Structures, Software Engineering
12042	4	Dynamic Structures, Security, Robotics, Static Structures
10760	5	Probability
13908	4	Statistics
15547	1	Mathematics
16759	2	Software Engineering, Static Structures, Probability
11508	5	Design, Robotics, Java
14288	2	Algorithmic, Dynamic Structures, Compilation, Security, Web Development
15612	2	C++, Java, Robotics, Static Structures
17060	1	Design, Python
13186	3	Software Engineering
14376	2	Robotics
10972	2	Statistics
11898	2	Software Engineering, Mathematics, Python
16447	3	Web Development, Python, Compilation, C++
17622	5	Statistics, Robotics, Python
15974	4	Security, Java, Algorithmic, Python
14944	4	Design, Security, Dynamic Structures, Web Development, Static Structures
13497	4	Python, Algorithmic, Mathematics
12930	2	Web Development, Static Structures
10801	1	Algorithmic, Static Structures, Security, Design, Python
10995	2	Design, Mathematics, Java
10737	3	Probability, Web Development, Static Structures, Statistics
11927	2	Probability, Mathematics, C++
12352	3	Software Engineering, Design, Algorithmic
17065	1	C++, Probability
17496	4	Security, Compilation, Probability, Dynamic Structures, Java
18796	3	Java, Static Structures, Design, Security
12009	1	Static Structures, Robotics, Algorithmic, C++
15317		C++, Security, Dynamic Structures, Compilation
12585	3	Compilation, Software Engineering, Mathematics
11865	5	Design, Compilation
16906	1	Software Engineering, Compilation, Python, Statistics, Java
17706	3	Compilation, Security, Static Structures
12161	5	Software Engineering
13036	1	Static Structures, Design
13338	5	
19477	3	C++, Dynamic Structures, Probability, Compilation, Software Engineering
13126	1	Static Structures, Probability, Robotics, Java, Security
12737	2	Algorithmic, Security
19731	4	Dynamic Structures, C++, Python
13863	2	Statistics, Mathematics, C++, Python, Java
10785	4	Python
14401	1	Static Structures, Algorithmic, Robotics, Web Development
16938	4	Compilation, Design, Dynamic Structures, Probability, Algorithmic
11595	3	Probability, Python, Statistics, Software Engineering
11544	1	Software Engineering, Compilation, Python, C++
11089	4	Software Engineering, Static Structures
13594	5	Design, Python, Dynamic Structures
14745	3	Dynamic Structures, Web Development, Static Structures
16025	1	Python
14035		Python, Mathematics, Robotics, Algorithmic, Static Structures
18870	3	
18531	5	Statistics, Python, Security, Web Development, Compilation
13733	1	
18183	1	Algorithmic, Statistics, Design
11868	2	Robotics, Compilation, C++, Algorithmic, Probability
17973	1	Python, Probability
18022	4	Mathematics, Security, Algorithmic
19826	3	Mathematics, Software Engineering
15608	4	Java, Static Structures, Robotics
15400		Web Development, Java, Statistics, Software Engineering, Compilation
15887	3	Statistics
11877	2	Static Structures, Dynamic Structures
14980	5	Static Structures, Python, Java, Dynamic Structures, Security
11063	2	Software Engineering, Java, Static Structures, Mathematics, Security
14788	3	Dynamic Structures, C++, Probability, Robotics
11370	3	Design, Dynamic Structures, Web Development, C++, Compilation
15789	5	Robotics, Probability, Software Engineering, Compilation
17781	2	Dynamic Structures
13398	4	Design, Algorithmic, Mathematics, C++
11922	4	
18817	3	Statistics, Static Structures, Design
13959	4	Security
12086	4	C++, Mathematics, Dynamic Structures, Python
13188	5	Security, Software Engineering, Probability
16027	1	Mathematics
16843	2	Design, Java, Python, Compilation
12870	1	
13906	2	Statistics, Security, Algorithmic, Probability, Static Structures
17263	4	Robotics, Probability, Python, Java, Software Engineering
14698	3	Design, Probability, Web Development
11846	4	C++, Java, Dynamic Structures
13318	4	Dynamic Structures, Web Development
12642	5	
16287	4	Software Engineering, C++
16194	4	Web Development, Static Structures, Robotics, Security, C++
18715	4	Statistics, Python, C++, Dynamic Structures
13610	1	Java, Design, Compilation, Static Structures
15783		Mathematics, Security, Algorithmic, Compilation
14152	3	Compilation, Probability, Dynamic Structures, Mathematics, Statistics
15121	4	Mathematics, Statistics, Java, Web Development
15392	5	
19176	5	Design, Software Engineering, Probability, C++, Algorithmic
19200	4	Software Engineering
10780	4	
16062	3	Software Engineering
15968	2	Static Structures, Software Engineering, Mathematics
19124	3	Robotics, Python, Statistics, Design
10373	3	Robotics
13141	3	Static Structures, Algorithmic
17050	3	Design, Compilation
19787	3	C++, Static Structures, Mathematics, Compilation, Security
18759	1	Java, Static Structures
17033	1	Software Engineering, Probability, Security, Robotics, Compilation
17239	2	Software Engineering, Mathematics, Python
14626	3	C++, Python, Security, Java, Dynamic Structures
14411	1	Statistics, Web Development, Security, C++
11445	3	Java, Robotics
10241	4	Robotics, Compilation, Static Structures, Security
16694	2	Web Development, Security
11129	5	Web Development, Statistics, Design, Compilation, Security
13634	4	Python
17077	3	Algorithmic, Robotics, Probability, Compilation
12325	4	Design, Probability, Robotics, Python, Static Structures
16076	3	Security, Java, Web Development, Statistics
11829	2	Python, Mathematics, Java
19726	5	Design, Python
19737	1	Statistics
17766	2	Statistics, Robotics
16765	1	Web Development
17550	5	Static Structures, Mathematics, Probability, Security
19810	1	Web Development, Java, Software Engineering
17147	2	Design, Web Development, Probability, Compilation
19702	5	
13341	2	Compilation
13744	2	Compilation, Web Development, Dynamic Structures, Software Engineering, Probability
16767	1	Mathematics
19497	2	Dynamic Structures, Software Engineering
14791	4	Java, Design
10397	2	Java
11758	1	Design
13040	2	Robotics
12441	1	Static Structures, C++, Robotics
16541	1	Mathematics, Software Engineering, Java
14333	1	Software Engineering
17971	5	Security, Statistics, Algorithmic, Dynamic Structures
17271		Java, Static Structures, Design, Mathematics
11620	5	Statistics
11776	3	Robotics, Web Development, Static Structures
14470	5	Design, Statistics
10445	3	Static Structures, Algorithmic, C++
13950	2	Mathematics, Software Engineering, Statistics, Java
11500	3	Algorithmic
11815	5	Probability, Java, C++, Algorithmic
16624	1	Static Structures, Web Development, Dynamic Structures, Statistics, Robotics
18081	1	Statistics, Software Engineering, Dynamic Structures, Java
10978	3	Dynamic Structures
13785	3	Statistics
11851	4	Compilation
11083		Security, Static Structures
10030	2	Design, Algorithmic
10312	3	Statistics, Java, Software Engineering
16429	4	Security, Software Engineering, Statistics, Design
12220	1	Statistics, Mathematics, Java
16808		Java, Design, Mathematics, Python, Web Development
11682	5	Robotics, Statistics, Python, Probability, Web Development
13617	1	Static Structures, Dynamic Structures, Probability
12674	5	Algorithmic, Compilation, C++, Probability
15556	4	Static Structures
15454	3	Algorithmic, C++
15084	3	Robotics, Mathematics, Compilation, Algorithmic
16328	5	Compilation, Java, Mathematics, Software Engineering, Python
14225	5	Security, Algorithmic
16657	2	Python, Software Engineering
10083	5	Python, Java, Design, Compilation
13743	4	Robotics, Mathematics
16715	3	Design, Statistics, Software Engineering
18358	4	Java, Web Development
13866	3	Web Development, Statistics, Static Structures, Algorithmic
18698	3	Static Structures, Design, Web Development
17960	5	Security, Design, Web Development, Dynamic Structures
10501	2	Security, Java, Static Structures, Mathematics, Robotics
17540	1	Python
10309	1	Statistics, Dynamic Structures, Compilation, Robotics, Java
12771	2	Statistics
15118	3	Algorithmic, Security, Statistics, Design, Compilation
16273	1	Design, Python, Robotics, Probability
11774	5	Dynamic Structures
18156	2	Python, Robotics
12986	4	Statistics, Software Engineering
15778	3	Web Development, Security, Static Structures, Compilation
16236	1	Robotics, Statistics, Mathematics, Compilation, Algorithmic
14192	1	Robotics, Python, C++, Static Structures, Statistics
10979	3	Design, Java, Static Structures, Robotics, Statistics
10680		Algorithmic
15376	5	Probability, Mathematics, Statistics, Robotics
18236	3	Algorithmic, Mathematics
11219	5	Static Structures, Software Engineering, Security
11855	5	Web Development, Security
17236	1	Statistics, C++, Compilation, Design
16257		Probability, Design, Security, Java
18615	2	Java, Design
15945	3	Algorithmic, Web Development
14316	2	Java, C++, Probability, Mathematics
18554	4	Python, C++, Java
14271	4	Probability, Python, Compilation, Web Development, Dynamic Structures
16685	2	Java, Compilation, C++, Static Structures
11444	5	Static Structures, C++, Algorithmic, Software Engineering
13073	2	C++, Static Structures
15457	5	Mathematics, Software Engineering, Compilation, Security
12629	2	C++
12560	4	Statistics, Java, Dynamic Structures, Web Development, C++
11811	2	Probability, Web Development
11935	3	Java, Algorithmic
15776	1	Software Engineering, Web Development, Security, Algorithmic, C++
12339	2	Algorithmic, Java, Design, Mathematics, Probability
10658	1	Dynamic Structures, Probability, Web Development
10699	1	Robotics, Java, Software Engineering, Python, Algorithmic
19679	5	Design, Python, Software Engineering
10474	2	Algorithmic, Web Development, Compilation, C++, Probability
17076	1	Security, C++
15609	3	Web Development
16354	1	C++, Web Development, Dynamic Structures, Algorithmic
16418	1	Static Structures, Web Development, Statistics, Python
17591	3	Probability, Robotics, Web Development, Mathematics
14692	2	Web Development, Python, Security
18475	1	C++, Algorithmic
10973	4	
14267	3	Algorithmic
11085	1	Java
10438	4	Static Structures, Dynamic Structures, Java, Robotics
14136	1	Compilation, Security
14973	4	Web Development, Algorithmic, Java
10200	5	Static Structures, Design
15175	3	Dynamic Structures, Web Development, Algorithmic, Static Structures
17318	1	Software Engineering, Dynamic Structures, Python, Compilation, Algorithmic
14977	4	Python, Design, Robotics, C++
19665	2	Algorithmic, Static Structures
11883	4	Algorithmic
10907	4	Mathematics, Robotics
11590	3	
13575	4	Statistics
19455	3	Software Engineering, Compilation, Java, Python, Mathematics
16638	4	Java, Algorithmic, Security, Compilation, Dynamic Structures
16375	3	Statistics, Software Engineering, Python
12107	2	Algorithmic, Java
17131	3	Robotics, Static Structures
13456	1	Probability
11499		Python, Security, Java, Compilation, Software Engineering
15048		Algorithmic, Software Engineering, Security, Mathematics, Probability
12160	4	Static Structures
19013	3	Design, Software Engineering, Compilation
13638	1	C++, Java, Mathematics
15229	4	Statistics, Security, Compilation, Python, Web Development
14077	2	Static Structures, Compilation, Software Engineering, Python, Java
14612	5	Java
18214	5	Web Development, C++, Mathematics
16784	5	Software Engineering, Python, Java
13220	4	Dynamic Structures
14951	5	Mathematics, Algorithmic, Python
10212	1	Robotics, C++, Probability, Web Development, Static Structures
17297	4	Python, Design
14668	5	
12028	5	C++, Design, Static Structures, Security, Algorithmic
12360	4	Mathematics, Statistics, Robotics
18792	4	Static Structures, Java
13626	5	Statistics
14649	3	C++, Java, Probability
18416	4	Mathematics
10750	1	Software Engineering, Mathematics
15504	4	Design, Security, Robotics, Algorithmic, Probability
11216	4	Python
15076	3	Robotics, Dynamic Structures, Compilation
17413	2	Python, Dynamic Structures, Static Structures, Probability
19805	1	Java, Security, Dynamic Structures, Robotics
18962	4	Mathematics, C++, Compilation, Statistics
14450	1	Software Engineering, Robotics, Security
18811	4	Algorithmic, Probability, Java, Design, Statistics
10566	2	Algorithmic, Dynamic Structures, Security, Statistics
11747	4	Statistics, Static Structures, Algorithmic, Java, Design
17276	3	C++, Mathematics, Security, Python, Static Structures
14856	1	Algorithmic, Software Engineering
19238	5	Algorithmic, Security, Web Development
11477	2	Algorithmic
18090	3	Design
13652	4	Software Engineering, Dynamic Structures
16593	5	Design, Dynamic Structures, Web Development, Statistics, Probability
15839	3	Java, Web Development
16186	3	Statistics, Mathematics
11470	5	Statistics, Python
19042	5	Robotics, Design, Compilation, Mathematics, C++
16390	1	Mathematics, Robotics
15245	2	Static Structures, Software Engineering
19902	2	Web Development
17026	1	Robotics, Software Engineering, Java
18119	3	
17012	3	Statistics, Java
17951	1	Compilation
12998		Design, C++
15710	2	Design, Compilation
12475	4	Mathematics, C++
19800	5	Statistics, Compilation, Dynamic Structures, Static Structures
19434	4	C++
17715	2	Static Structures, Design, Security
15953	5	Static Structures
17214	2	Java, Design, Dynamic Structures, Static Structures, C++
12705	4	Probability
17389	4	Dynamic Structures
17961	2	Java, Statistics, Web Development
17326	5	Probability, Mathematics, Algorithmic, Dynamic Structures, Robotics
14377	4	Probability, Python, Java, Design
15878		Robotics
11121	5	Security, Robotics
19869	2	C++
14014	3	Security
15369	4	Static Structures, Algorithmic
15299	5	Static Structures, Design, Software Engineering, Algorithmic
16921	1	Security, Java, Software Engineering, Probability, Python
15465	4	Robotics, Web Development, Java
18187		Dynamic Structures, C++, Robotics, Static Structures, Software Engineering
17751	1	Dynamic Structures, Mathematics
12559	2	Python, Mathematics, Algorithmic, Statistics
17208	4	Algorithmic, Probability, Statistics
10193	4	Mathematics
17898	2	Python, Design, Statistics
11962	3	Statistics, Mathematics, Robotics
19569	2	Compilation, Mathematics, Design
13987	3	Security
16046	4	
14362	5	Statistics, Robotics, Dynamic Structures, Mathematics
16570	1	
18721	3	Software Engineering, Static Structures, Dynamic Structures, Mathematics
11765	5	Design, Compilation, Algorithmic, Web Development, Software Engineering
19071	2	Probability, Compilation, Security
14645	1	Security
10459	3	Robotics, Software Engineering, Algorithmic, Mathematics
16831	5	Static Structures, Java, Dynamic Structures
13280	5	Static Structures, Dynamic Structures, Compilation
17206	3	Design, Compilation, Java, Mathematics, Statistics
17850	2	Statistics, Static Structures
17834	3	Probability, Security, Web Development
19715	3	Python, Web Development, Design, Dynamic Structures
17761	3	
13960	2	Algorithmic, Statistics
11570	4	Java
12916	4	Algorithmic, Mathematics, Design, Dynamic Structures
14213	1	Statistics, Python, Compilation
13725	2	Design, Compilation, Software Engineering
18097	5	C++, Software Engineering, Statistics, Web Development
11650	4	
19075	4	Robotics
14269	5	Python, Robotics
11183	5	Probability, Java, C++, Static Structures
18259	1	Security
14204	3	Robotics, Algorithmic
14156	3	Web Development, Python, Dynamic Structures
13607	3	Algorithmic, Web Development, Mathematics, Design
11347	4	Design
11212	4	Java, Static Structures, Statistics, Design, Mathematics
14866	4	C++, Web Development
12443	2	Robotics, Mathematics, Web Development
11461	2	Mathematics, Design, Probability, Software Engineering, Algorithmic
17970	2	Statistics
19696	1	Design, Compilation, Java, Statistics, Dynamic Structures
18202	1	Security, Mathematics, Robotics, C++
10905	1	Probability, Security, Web Development, Compilation, Design
16349	2	
18528	5	Security
15172	2	C++, Robotics
14352	5	C++
10305	1	C++, Mathematics
15961	4	Web Development, C++, Mathematics, Security
17411	5	Mathematics, Robotics, C++, Security
15567	3	Statistics, Static Structures, Security, Algorithmic
12255	5	Python
15343	2	Probability, Statistics, Design, Dynamic Structures, C++
13580	4	Software Engineering, Dynamic Structures, Static Structures, Security, Python
15731	2	Static Structures
12967	2	Design
10729	3	Java, Python, Compilation
19115	3	Static Structures
17162	4	Statistics, Dynamic Structures, Compilation
17502	3	Probability
13554	3	Static Structures
14420	3	Algorithmic, Software Engineering, Compilation, Statistics, Probability
16308	4	Probability, Statistics, Algorithmic, Design, Security
13235	5	Design, Statistics, Algorithmic, Web Development
14211	1	Security, Java, Probability, Statistics, Static Structures
18407	1	Mathematics
19041	2	Python, C++, Design, Software Engineering, Statistics
12525	3	Design, Compilation, Algorithmic
18524	3	Robotics, Dynamic Structures, Algorithmic
15751	5	Compilation, Algorithmic, Static Structures
10130	2	Dynamic Structures, Statistics, Design, Algorithmic
15970	1	Design
11615	4	Python, Web Development, Dynamic Structures, Compilation, Mathematics
17507	2	C++, Software Engineering, Java
16324	3	Algorithmic, C++, Probability, Mathematics
13651	3	Python, Security
10969	1	Java, Statistics
14406	3	Security, Software Engineering, Statistics, Design
10073	1	Software Engineering, Design
15838	5	Statistics, C++, Java
18042	1	Static Structures
15665	1	Python
18058	2	Dynamic Structures, Probability
18598	4	Dynamic Structures, Compilation
17640	5	Software Engineering
17513	1	Robotics
14860	1	C++, Algorithmic, Dynamic Structures
12607	5	Web Development, Mathematics
11619	3	Design, Java, Robotics, Web Development, Probability
10435	5	Algorithmic, Probability, Software Engineering, Design, Compilation
13519	3	Compilation, Design
16302	4	Python, Algorithmic
13805	5	Compilation, Dynamic Structures
10148	1	Design, Statistics, Robotics, Software Engineering
11795	4	Static Structures
14180	3	Dynamic Structures, Probability
18021	2	Statistics, C++, Probability
11244	3	Algorithmic, Java, Robotics
10117	4	Software Engineering, Design
19143	3	Dynamic Structures, Web Development
12428	5	Software Engineering
19639	3	C++, Robotics, Security, Static Structures
19989	1	Software Engineering, C++, Mathematics
18460	4	C++
17755	1	Web Development, C++, Security, Java, Python
18474	1	Python
14415	5	
11711	5	C++, Design
14848	5	Security
12554	5	Compilation, Web Development, Mathematics, Robotics, Security
10314	1	Software Engineering
18350	5	
18283	4	Dynamic Structures
10265	4	Dynamic Structures, Static Structures, Robotics, C++
16756	2	Algorithmic, Design
19102	2	Statistics, Algorithmic, Mathematics, C++
11684	4	C++, Software Engineering, Statistics, Mathematics, Java
11398	3	Security, Static Structures
15222	2	Design, C++, Software Engineering, Web Development, Static Structures
17874	2	Python
17703	4	Statistics, Algorithmic, Software Engineering, Design
10306	2	Statistics, Python
16201		Software Engineering, Static Structures
18107	4	C++, Web Development, Security
11099	1	Design
13079	4	C++, Software Engineering, Compilation
10367	1	Java, Web Development, Software Engineering
15094	3	Design, Mathematics
15634	1	Mathematics, Algorithmic, Software Engineering, Robotics, Probability
16495	4	Web Development, Robotics, Probability, Statistics
10808	1	Software Engineering
15073		C++, Design, Dynamic Structures, Statistics, Robotics
14495	5	Mathematics, Algorithmic, Web Development, Dynamic Structures
13496	2	Java, Static Structures, Compilation, Robotics, Statistics
11887	5	Software Engineering, Static Structures, Java, Statistics
12678	4	Robotics, Algorithmic, Design, Python
12117	2	Dynamic Structures, Security
14810	5	Static Structures, Statistics, C++, Software Engineering
11994	5	Algorithmic, Statistics, Mathematics, C++
15578		Robotics
14459	5	Statistics, Design, Python
14221	5	Dynamic Structures, Mathematics, Security, Software Engineering, Probability
11961	5	Mathematics
14434	1	Python
14775	4	Compilation, Software Engineering
18668	1	Statistics, Static Structures
10475	5	Probability, Java, Design, Python, Algorithmic
17111	5	Statistics, Probability
12963	1	Design, Software Engineering
18827	4	Software Engineering
14371	5	C++, Python
19602	5	C++, Design
18915	4	Security
14263	2	Python, Software Engineering, Probability
13022	2	Compilation, Web Development, Algorithmic
12673	2	Compilation, Robotics, C++, Mathematics, Dynamic Structures
12758	3	Security, C++, Software Engineering, Python, Compilation
16256	3	Security, Web Development, Static Structures, Software Engineering, Compilation
14510	3	Software Engineering
15480	3	Java, Algorithmic, Robotics, Compilation
17314	2	Algorithmic, Robotics, Mathematics, Web Development
18011	2	Static Structures, Software Engineering, Security, C++, Design
17578		Compilation
15935	3	Dynamic Structures, Mathematics, Algorithmic
15586	4	Java, Algorithmic, Probability, Python
10074	2	Algorithmic, Statistics
13991	3	Python
11977	2	Web Development, Software Engineering, Dynamic Structures
10413	5	Compilation, Mathematics, Probability, Robotics
12136	1	Robotics, Compilation, Static Structures
14091	3	Web Development
10548	3	Robotics, Probability
19358	2	
14081	3	Security, Probability, Design
14226	5	Compilation, C++, Algorithmic, Software Engineering, Mathematics
15853	4	C++
19061	2	Security, Algorithmic, Design
18418	1	Design
18162	5	Statistics, Algorithmic
12637		Design, Security, Probability, Mathematics, Python
10284	5	Design, C++
19414	5	Static Structures, Software Engineering
17969	1	Static Structures, Java, Algorithmic, Robotics
16701	2	Python
10260	5	Statistics, Dynamic Structures, Software Engineering
12152	5	Dynamic Structures, Software Engineering
14053	5	Compilation, Algorithmic, Mathematics, C++, Web Development
19478	3	Robotics, Design
18779	2	Java, Web Development, Python
17618	1	Statistics
13629	3	
13223		Java, Static Structures, Security
11126	5	Mathematics, Statistics
15975	2	Java, Web Development, Probability
